,protein,mol_id,label
2726,CHEMBL1293238,1702916,0
2139,CHEMBL1293238,1326728,0
16290,CHEMBL312,206353,1
5409,CHEMBL2564,1831783,1
39258,CHEMBL1255150,1572341,0
42349,CHEMBL1293231,827951,0
2360,CHEMBL1293238,771670,0
9818,CHEMBL273,395015,1
37507,CHEMBL6140,1512317,1
25478,CHEMBL339,139158,1
22262,CHEMBL3229,488699,0
30172,CHEMBL4017,709542,1
10762,CHEMBL276,93086,1
38977,CHEMBL1075294,1421496,1
44836,CHEMBL2489,625563,1
33799,CHEMBL4653,1354526,1
37635,CHEMBL6140,1993399,1
16092,CHEMBL311,1617887,1
25174,CHEMBL338,101830,0
24936,CHEMBL338,600471,0
25053,CHEMBL338,1763210,0
4932,CHEMBL2564,310665,1
3765,CHEMBL2135,489229,0
9713,CHEMBL273,319078,1
49104,CHEMBL3910,564234,0
50662,CHEMBL4489,1503699,0
23807,CHEMBL3358,319902,1
1914,CHEMBL1293238,1020264,1
53168,CHEMBL5445,1782694,0
44195,CHEMBL2207,1987416,1
16158,CHEMBL311,1581189,0
4223,CHEMBL2391,365476,1
34658,CHEMBL4980,522689,1
27379,CHEMBL3571,600217,1
34855,CHEMBL4980,1441063,1
43884,CHEMBL2128,603167,0
25939,CHEMBL339,1731643,1
48294,CHEMBL3802,1282366,0
25868,CHEMBL339,1339911,1
44997,CHEMBL2499,1521290,1
19856,CHEMBL3199,1502651,1
36865,CHEMBL5424,711462,0
45338,CHEMBL2570,1581682,0
47095,CHEMBL3232700,1736542,1
22948,CHEMBL324,152264,0
36585,CHEMBL5424,591438,1
13563,CHEMBL302,327099,1
23474,CHEMBL326,334710,0
46528,CHEMBL3222,609305,1
11226,CHEMBL276,706051,0
26481,CHEMBL3403,121697,1
52332,CHEMBL5263,1146599,0
30845,CHEMBL4124,632090,1
34629,CHEMBL4980,376455,1
31981,CHEMBL4503,326409,1
9654,CHEMBL273,312724,1
9783,CHEMBL273,367189,1
12144,CHEMBL2851,429783,1
22661,CHEMBL3229,1430736,0
45664,CHEMBL2858,487686,1
26030,CHEMBL339,312971,0
40628,CHEMBL1293231,945146,1
17337,CHEMBL313,1559438,1
31639,CHEMBL4477,374995,1
37764,CHEMBL6140,1993546,1
37782,CHEMBL6140,1993569,1
12303,CHEMBL2851,391397,0
20574,CHEMBL322,596207,1
18836,CHEMBL318,605052,1
27145,CHEMBL3571,516339,1
8168,CHEMBL270,393379,1
25930,CHEMBL339,1622595,1
31737,CHEMBL4477,1150537,1
51877,CHEMBL4908,2035232,1
38226,CHEMBL6140,2002261,0
43615,CHEMBL1770046,1143555,1
41432,CHEMBL1293231,1955034,1
6219,CHEMBL257,50327,1
18336,CHEMBL3148,1492216,0
36092,CHEMBL5102,1353610,0
22552,CHEMBL3229,565027,0
49477,CHEMBL4077,1948512,1
3122,CHEMBL1293238,972370,0
15630,CHEMBL3072,1973597,1
3272,CHEMBL1293238,831110,0
11624,CHEMBL285,211130,1
30516,CHEMBL4124,259480,1
42398,CHEMBL1293231,729528,0
44340,CHEMBL2207,2002112,1
43149,CHEMBL1293231,750010,0
43567,CHEMBL1741203,1539098,1
12659,CHEMBL2871,1166110,1
41476,CHEMBL1293231,763918,0
53494,CHEMBL5769,1732354,1
13592,CHEMBL302,372893,1
42737,CHEMBL1293231,833747,0
44116,CHEMBL2207,1987322,1
11293,CHEMBL276,549367,0
52535,CHEMBL5353,1514195,1
12686,CHEMBL2871,5511,0
14598,CHEMBL304,447955,0
26147,CHEMBL339,88536,0
1531,CHEMBL1293238,917497,1
34300,CHEMBL4828,2080592,1
33180,CHEMBL4649,377533,1
14861,CHEMBL3048,508787,0
43366,CHEMBL1293231,1034906,0
36821,CHEMBL5424,710740,0
41677,CHEMBL1293231,724004,0
27174,CHEMBL3571,520365,1
9559,CHEMBL273,242797,1
28871,CHEMBL3766,1547379,0
17768,CHEMBL313,582205,0
36055,CHEMBL5102,328541,0
22010,CHEMBL3229,1616224,1
49386,CHEMBL4077,321891,1
36421,CHEMBL5221,1835041,1
14355,CHEMBL304,322863,1
24952,CHEMBL338,1570152,0
20592,CHEMBL322,629666,1
26736,CHEMBL3508,382129,1
641,CHEMBL1075232,1992106,0
19892,CHEMBL3199,1623622,1
51179,CHEMBL4908,1974454,1
1852,CHEMBL1293238,1001865,1
39342,CHEMBL1255164,1518438,0
17993,CHEMBL3138,87828,1
12017,CHEMBL285,27953,0
17349,CHEMBL313,1570145,1
47033,CHEMBL3222,1963813,0
17620,CHEMBL313,486943,0
2546,CHEMBL1293238,751450,0
4178,CHEMBL2372,1843113,1
32860,CHEMBL4566,180076,1
8134,CHEMBL270,368288,1
52503,CHEMBL5353,712591,1
9768,CHEMBL273,367104,1
35923,CHEMBL5102,1759161,1
1130,CHEMBL1293238,817027,1
44942,CHEMBL2499,696704,1
42101,CHEMBL1293231,854184,0
44584,CHEMBL2458,253607,0
11799,CHEMBL285,123431,0
29288,CHEMBL3833,553218,1
31306,CHEMBL4317,190961,1
46637,CHEMBL3222,1421911,1
36063,CHEMBL5102,173809,0
16780,CHEMBL313,324297,1
31067,CHEMBL4124,1346180,1
21278,CHEMBL3223,1973288,1
15998,CHEMBL311,357835,1
2671,CHEMBL1293238,1007320,0
9570,CHEMBL273,247029,1
5487,CHEMBL2564,1954557,1
28196,CHEMBL3602,1950874,1
22553,CHEMBL3229,123621,0
37436,CHEMBL6140,562106,1
2659,CHEMBL1293238,1681900,0
12680,CHEMBL2871,2090431,1
3568,CHEMBL2034805,1818260,1
20459,CHEMBL322,373623,1
40370,CHEMBL1293231,894088,1
19818,CHEMBL3199,1359923,1
2198,CHEMBL1293238,1028372,0
37875,CHEMBL6140,1997248,1
16393,CHEMBL312,2057217,0
6968,CHEMBL269,217193,1
43796,CHEMBL1938219,1275388,1
28358,CHEMBL3602,96002,0
288,CHEMBL1075228,359732,0
47992,CHEMBL3738,467058,1
43054,CHEMBL1293231,850695,0
4297,CHEMBL2391,1360463,0
7015,CHEMBL269,323814,1
43115,CHEMBL1293231,1035459,0
37361,CHEMBL5756,1528480,1
1375,CHEMBL1293238,877819,1
22155,CHEMBL3229,2017085,1
36528,CHEMBL5262,1955068,1
23921,CHEMBL3358,453386,0
15189,CHEMBL3067,429308,1
29494,CHEMBL3833,2006048,1
27134,CHEMBL3571,516328,1
13348,CHEMBL302,122445,1
50714,CHEMBL4489,317287,0
40577,CHEMBL1293231,932935,1
45248,CHEMBL2567,450810,1
28729,CHEMBL3762,225829,0
49035,CHEMBL3910,565507,0
45202,CHEMBL2567,450575,1
13691,CHEMBL302,516533,1
48622,CHEMBL3910,566102,1
188,CHEMBL1075228,1946559,1
52086,CHEMBL5200,422338,1
23035,CHEMBL3247,403490,1
40006,CHEMBL1293231,835352,1
23260,CHEMBL3252,380877,0
53001,CHEMBL5387,1605928,1
22951,CHEMBL324,2023,0
37315,CHEMBL5669,1617566,1
51583,CHEMBL4908,2006036,1
32292,CHEMBL4552,1063450,1
14685,CHEMBL3048,1582191,1
10994,CHEMBL276,1762940,1
38293,CHEMBL6140,2002260,0
27961,CHEMBL3602,376262,1
23758,CHEMBL3321,353302,0
38243,CHEMBL6140,1842910,0
22677,CHEMBL3229,313170,0
23060,CHEMBL3247,417145,1
32880,CHEMBL4566,205223,1
18580,CHEMBL318,82433,1
1870,CHEMBL1293238,1006902,1
9684,CHEMBL273,312978,1
2478,CHEMBL1293238,924497,0
25356,CHEMBL339,36595,1
42229,CHEMBL1293231,807776,0
85,CHEMBL1075228,363262,1
18848,CHEMBL318,606520,1
44674,CHEMBL2467,2074802,1
18958,CHEMBL318,2059292,1
43297,CHEMBL1293231,585199,0
29241,CHEMBL3818,515999,0
1761,CHEMBL1293238,982984,1
34189,CHEMBL4824,2042268,0
22665,CHEMBL3229,2073754,0
43522,CHEMBL1293231,751298,0
35316,CHEMBL4980,575768,0
37653,CHEMBL6140,1993423,1
3152,CHEMBL1293238,788618,0
1917,CHEMBL1293238,1021852,1
17120,CHEMBL313,514432,1
12992,CHEMBL2993,257469,1
6886,CHEMBL269,62259,1
32021,CHEMBL4552,721,1
28842,CHEMBL3766,516898,1
14179,CHEMBL302,327164,0
43463,CHEMBL1293231,982149,0
37397,CHEMBL5862,1424929,0
34064,CHEMBL4824,2040511,1
41752,CHEMBL1293231,794846,0
43765,CHEMBL1795126,1161887,0
20252,CHEMBL320,1762939,1
25656,CHEMBL339,312807,1
11031,CHEMBL276,811447,0
51989,CHEMBL4908,2035347,1
33571,CHEMBL4652,413375,1
16030,CHEMBL311,399205,1
31732,CHEMBL4477,1150532,1
44809,CHEMBL2488,309212,0
33186,CHEMBL4649,441393,1
52399,CHEMBL5353,381856,1
27233,CHEMBL3571,557518,1
11880,CHEMBL285,41027,0
11138,CHEMBL276,6651,0
42983,CHEMBL1293231,973629,0
13540,CHEMBL302,312226,1
1659,CHEMBL1293238,955098,1
36095,CHEMBL5102,1275229,0
41265,CHEMBL1293231,1679692,1
29007,CHEMBL3783,1516507,1
30972,CHEMBL4124,1272576,1
33221,CHEMBL4649,519942,1
50116,CHEMBL4329,514259,1
37952,CHEMBL6140,1998201,1
15543,CHEMBL3072,367203,1
25366,CHEMBL339,50968,1
18541,CHEMBL318,23245,1
32440,CHEMBL4552,1366039,1
40488,CHEMBL1293231,919533,1
4528,CHEMBL2470,1515359,1
49615,CHEMBL4098,1608319,1
13147,CHEMBL2993,573245,0
26473,CHEMBL3399,921,0
35971,CHEMBL5102,304253,0
24255,CHEMBL3368,3154,1
39792,CHEMBL1293231,798696,1
45361,CHEMBL2749,344825,1
52987,CHEMBL5387,1444851,1
46810,CHEMBL3222,1704688,1
25810,CHEMBL339,569243,1
8847,CHEMBL270,1962602,0
53649,CHEMBL6080,1957656,1
22874,CHEMBL324,1746666,1
50011,CHEMBL4321,234907,0
14112,CHEMBL302,1561847,0
5063,CHEMBL2564,522402,1
14881,CHEMBL3048,1277744,0
26803,CHEMBL3513,447555,1
14904,CHEMBL3066,8122,1
30745,CHEMBL4124,501020,1
42845,CHEMBL1293231,734719,0
28051,CHEMBL3602,686752,1
6029,CHEMBL2564,1143577,0
28074,CHEMBL3602,1177870,1
25102,CHEMBL338,600395,0
27348,CHEMBL3571,599843,1
13435,CHEMBL302,296690,1
32940,CHEMBL4567,119977,1
37121,CHEMBL5582,176126,0
46430,CHEMBL3222,365979,1
31080,CHEMBL4124,1347152,1
51818,CHEMBL4908,2018015,1
33859,CHEMBL4653,363546,0
17180,CHEMBL313,578407,1
51270,CHEMBL4908,1978188,1
20283,CHEMBL320,1517600,0
35761,CHEMBL5102,472464,1
52125,CHEMBL5200,1166741,1
25437,CHEMBL339,100867,1
17420,CHEMBL313,1789643,1
28368,CHEMBL3607,321760,1
42192,CHEMBL1293231,801134,0
40981,CHEMBL1293231,1003580,1
10746,CHEMBL276,38856,1
13684,CHEMBL302,500132,1
34679,CHEMBL4980,564135,1
29633,CHEMBL3858,1847780,1
45846,CHEMBL2858,1704685,1
39590,CHEMBL1293231,754459,1
45480,CHEMBL2854,5195,1
40099,CHEMBL1293231,850616,1
46057,CHEMBL3037,1559827,1
32844,CHEMBL4566,109740,1
32506,CHEMBL4552,1559196,1
2892,CHEMBL1293238,951576,0
46038,CHEMBL3037,441699,1
5907,CHEMBL2564,1782346,0
140,CHEMBL1075228,1171006,1
33193,CHEMBL4649,441665,1
51070,CHEMBL4908,337615,1
47805,CHEMBL3719,440392,1
11701,CHEMBL285,123875,0
26491,CHEMBL3403,308299,1
12796,CHEMBL2871,5314,0
16055,CHEMBL311,414589,1
19923,CHEMBL3199,458187,0
35015,CHEMBL4980,1604469,0
11881,CHEMBL285,41024,0
13113,CHEMBL2993,1783910,1
19311,CHEMBL318,32453,0
9291,CHEMBL2718,388216,1
26960,CHEMBL3571,433728,1
22092,CHEMBL3229,1749456,1
18491,CHEMBL317,780918,1
2560,CHEMBL1293238,962971,0
19175,CHEMBL318,303870,0
12169,CHEMBL2851,490852,1
15600,CHEMBL3072,1973558,1
1785,CHEMBL1293238,987561,1
5724,CHEMBL2564,316714,0
52757,CHEMBL5373,708261,1
6871,CHEMBL269,25538,1
18219,CHEMBL3138,1445906,1
5778,CHEMBL2564,1779845,0
48939,CHEMBL3910,1620141,1
12077,CHEMBL2851,312489,1
39831,CHEMBL1293231,804136,1
9143,CHEMBL270,1352408,0
33939,CHEMBL4701,1384034,1
18879,CHEMBL318,1333741,1
38073,CHEMBL6140,2024664,1
47736,CHEMBL3714704,2042970,1
848,CHEMBL1293238,755701,1
43942,CHEMBL2146304,894251,0
12097,CHEMBL2851,312765,1
39909,CHEMBL1293231,814883,1
9514,CHEMBL273,193349,1
47571,CHEMBL3464,516995,0
12482,CHEMBL2868,1169885,1
42612,CHEMBL1293231,728159,0
41005,CHEMBL1293231,1007319,1
6394,CHEMBL2622,421394,1
36789,CHEMBL5424,711409,0
51325,CHEMBL4908,1985536,1
4336,CHEMBL2397,621364,1
21602,CHEMBL3229,442015,1
29012,CHEMBL3783,475228,0
11977,CHEMBL285,27679,0
8211,CHEMBL270,468492,1
45314,CHEMBL2567,450573,0
228,CHEMBL1075228,2071413,1
32497,CHEMBL4552,1559187,1
39347,CHEMBL1255164,868286,0
52814,CHEMBL5373,1839318,1
46516,CHEMBL3222,568027,1
17303,CHEMBL313,1443978,1
227,CHEMBL1075228,2071412,1
4397,CHEMBL2397,1283891,0
30257,CHEMBL4027,2051935,1
6706,CHEMBL265,446091,1
23656,CHEMBL330,228254,1
16231,CHEMBL312,189964,1
51676,CHEMBL4908,2013234,1
48600,CHEMBL3910,560200,1
49876,CHEMBL4321,510105,1
31739,CHEMBL4477,1150539,1
43638,CHEMBL1770046,1145951,1
382,CHEMBL1075232,1996360,1
17668,CHEMBL313,320215,0
34935,CHEMBL4980,1747138,1
17804,CHEMBL313,1122429,0
29747,CHEMBL3858,1848038,1
23061,CHEMBL3247,417147,1
42942,CHEMBL1293231,1325746,0
4068,CHEMBL2363,47702,0
50289,CHEMBL4336,603495,1
18277,CHEMBL3138,2069229,1
15131,CHEMBL3066,29865,0
43424,CHEMBL1293231,1687096,0
39372,CHEMBL1293231,230770,1
38577,CHEMBL1075140,1338485,1
5289,CHEMBL2564,1587108,1
13201,CHEMBL2993,495706,0
40639,CHEMBL1293231,947527,1
45484,CHEMBL2854,231321,1
30713,CHEMBL4124,452022,1
40555,CHEMBL1293231,927687,1
17847,CHEMBL313,1055272,0
35256,CHEMBL4980,1440777,0
22584,CHEMBL3229,2071138,0
17343,CHEMBL313,1570139,1
6286,CHEMBL2577,557527,1
49590,CHEMBL4077,227771,0
31156,CHEMBL4124,2028086,1
5833,CHEMBL2564,1143584,0
35634,CHEMBL5102,359747,1
15757,CHEMBL3072,328166,0
48702,CHEMBL3910,1138417,1
39714,CHEMBL1293231,783100,1
41222,CHEMBL1293231,1325255,1
42987,CHEMBL1293231,1682146,0
44243,CHEMBL2207,1987472,1
44904,CHEMBL2489,591911,0
17738,CHEMBL313,313681,0
20287,CHEMBL320,168698,0
8651,CHEMBL270,1749350,1
7582,CHEMBL269,102700,0
15618,CHEMBL3072,1973580,1
47131,CHEMBL3232700,1736861,0
52315,CHEMBL5263,1364306,0
3545,CHEMBL2034805,1357571,1
29083,CHEMBL3815,1353030,1
40179,CHEMBL1293231,867238,1
8517,CHEMBL270,1528438,1
37187,CHEMBL5669,563881,1
32314,CHEMBL4552,1177457,1
50891,CHEMBL4773,1736780,1
32745,CHEMBL4552,191385,0
13669,CHEMBL302,440472,1
34194,CHEMBL4824,2042247,0
23780,CHEMBL3322,1829942,0
46687,CHEMBL3222,1445045,1
38798,CHEMBL1075283,1950819,0
15116,CHEMBL3066,326348,0
10018,CHEMBL273,1264809,1
43540,CHEMBL1681617,595624,1
36902,CHEMBL5499,1610744,0
10205,CHEMBL273,1704846,1
3630,CHEMBL2073709,1948492,1
48141,CHEMBL3758064,2061332,0
44480,CHEMBL2336,1366261,1
24499,CHEMBL338,269974,1
6807,CHEMBL265,470243,0
3640,CHEMBL2073709,1948478,0
16594,CHEMBL313,270066,1
37191,CHEMBL5669,564412,1
29295,CHEMBL3833,1989334,1
47911,CHEMBL3719,581872,0
53041,CHEMBL5387,578866,0
26870,CHEMBL3571,318223,1
5293,CHEMBL2564,1587116,1
53598,CHEMBL6080,501095,1
6293,CHEMBL2577,568185,1
43963,CHEMBL2181,681923,1
10055,CHEMBL273,1268045,1
1589,CHEMBL1293238,931558,1
19597,CHEMBL319,707353,0
10725,CHEMBL276,6772,1
28563,CHEMBL3747,1267576,1
28753,CHEMBL3762,1727655,0
12622,CHEMBL2871,285019,1
48257,CHEMBL3802,1978901,1
53368,CHEMBL5570,1993666,1
29750,CHEMBL3858,1848050,1
6195,CHEMBL2564,1997757,0
14063,CHEMBL302,171477,0
3403,CHEMBL1293238,816525,0
25998,CHEMBL339,2054933,1
20819,CHEMBL322,367153,0
7089,CHEMBL269,370503,1
34419,CHEMBL4921,479389,1
9615,CHEMBL273,311898,1
13413,CHEMBL302,296616,1
40692,CHEMBL1293231,956125,1
16042,CHEMBL311,414104,1
40786,CHEMBL1293231,970189,1
34592,CHEMBL4980,325161,1
44477,CHEMBL2336,1366258,1
4646,CHEMBL2496,400523,1
11329,CHEMBL2787,1354142,0
16942,CHEMBL313,401997,1
50052,CHEMBL4321,1424520,0
45426,CHEMBL2749,1614551,0
12558,CHEMBL2871,12964,1
4117,CHEMBL2363,489816,0
14791,CHEMBL3048,708384,0
11025,CHEMBL276,1826001,0
1586,CHEMBL1293238,930895,1
34215,CHEMBL4824,601322,0
48894,CHEMBL3910,1560042,1
39086,CHEMBL1255149,1280462,1
51891,CHEMBL4908,2035246,1
28062,CHEMBL3602,711164,1
52202,CHEMBL5263,1354431,1
46141,CHEMBL3056,330246,1
25905,CHEMBL339,1564028,1
39852,CHEMBL1293231,807429,1
6786,CHEMBL265,505915,0
44075,CHEMBL2207,1983993,1
28466,CHEMBL3614,181591,0
40618,CHEMBL1293231,943786,1
18378,CHEMBL315,379390,1
16555,CHEMBL313,143723,1
28387,CHEMBL3614,259025,1
20761,CHEMBL322,2069653,1
2372,CHEMBL1293238,838517,0
42854,CHEMBL1293231,947918,0
855,CHEMBL1293238,756563,1
13111,CHEMBL2993,1783904,1
44371,CHEMBL2207,1987355,0
42495,CHEMBL1293231,970888,0
50762,CHEMBL4676,339818,1
19742,CHEMBL3199,498427,1
48645,CHEMBL3910,613418,1
52824,CHEMBL5373,1948086,1
34778,CHEMBL4980,1251470,1
48226,CHEMBL3802,1511112,1
20474,CHEMBL322,385264,1
46201,CHEMBL3112387,1784185,1
51847,CHEMBL4908,2018052,1
45512,CHEMBL2854,329346,1
1880,CHEMBL1293238,1009283,1
41470,CHEMBL1293231,982752,0
50589,CHEMBL4489,1544414,1
6521,CHEMBL2622,489866,0
47639,CHEMBL3608,225461,1
15483,CHEMBL3072,204401,1
49647,CHEMBL4140,364280,1
6459,CHEMBL2622,1836134,1
10956,CHEMBL276,991883,1
53487,CHEMBL5769,1732342,1
3958,CHEMBL2363,200482,1
4248,CHEMBL2391,387585,1
18509,CHEMBL317,959681,0
5237,CHEMBL2564,1422481,1
42227,CHEMBL1293231,956908,0
36,CHEMBL1075158,623363,0
18750,CHEMBL318,361791,1
37097,CHEMBL5582,217887,1
39282,CHEMBL1255150,706614,0
31144,CHEMBL4124,1840795,1
27399,CHEMBL3571,600584,1
26548,CHEMBL3403,1354752,0
42450,CHEMBL1293231,984292,0
31904,CHEMBL4477,340924,0
45917,CHEMBL2858,1957317,0
1118,CHEMBL1293238,814501,1
15124,CHEMBL3066,304312,0
34717,CHEMBL4980,614563,1
22422,CHEMBL3229,1281081,0
12573,CHEMBL2871,73828,1
21059,CHEMBL322,64097,0
8240,CHEMBL270,510281,1
28140,CHEMBL3602,1575641,1
24714,CHEMBL338,662764,1
27392,CHEMBL3571,600429,1
48635,CHEMBL3910,613157,1
19768,CHEMBL3199,574055,1
18092,CHEMBL3138,512494,1
34621,CHEMBL4980,352877,1
35212,CHEMBL4980,631895,0
41764,CHEMBL1293231,811382,0
42169,CHEMBL1293231,1698779,0
24643,CHEMBL338,471587,1
18532,CHEMBL318,18414,1
47186,CHEMBL3263,570892,1
39892,CHEMBL1293231,812256,1
7574,CHEMBL269,1078118,0
13331,CHEMBL302,35064,1
42645,CHEMBL1293231,755740,0
20396,CHEMBL322,251499,1
12324,CHEMBL2851,1759178,0
18325,CHEMBL3148,1492205,1
31616,CHEMBL4477,359441,1
24415,CHEMBL338,115545,1
48986,CHEMBL3910,1960738,1
40658,CHEMBL1293231,950217,1
47434,CHEMBL3455,1428504,1
40770,CHEMBL1293231,968206,1
39487,CHEMBL1293231,732850,1
52780,CHEMBL5373,1530306,1
44877,CHEMBL2489,1282961,1
35875,CHEMBL5102,1275045,1
13842,CHEMBL302,1964827,0
22362,CHEMBL3229,353795,0
52856,CHEMBL5373,453441,0
1495,CHEMBL1293238,910252,1
1057,CHEMBL1293238,802182,1
11217,CHEMBL276,624376,0
2969,CHEMBL1293238,756458,0
5003,CHEMBL2564,348989,1
68,CHEMBL1075228,359460,1
17421,CHEMBL313,1789646,1
37934,CHEMBL6140,1997333,1
6141,CHEMBL2564,707413,0
52227,CHEMBL5263,1561830,1
30425,CHEMBL4108,218180,0
47268,CHEMBL3309042,1794092,1
26157,CHEMBL339,1951247,0
25304,CHEMBL339,2591,1
36403,CHEMBL5221,13270,1
51025,CHEMBL4774,581883,0
15681,CHEMBL3072,328153,0
53103,CHEMBL5412,383908,1
31303,CHEMBL4317,132080,1
10048,CHEMBL273,1267707,1
49683,CHEMBL4140,706634,1
12083,CHEMBL2851,312563,1
49809,CHEMBL4321,234078,1
10758,CHEMBL276,78306,1
5962,CHEMBL2564,706239,0
42152,CHEMBL1293231,851352,0
39418,CHEMBL1293231,723786,1
29400,CHEMBL3833,1996644,1
39056,CHEMBL1255149,1273357,1
44772,CHEMBL2488,1345852,1
45060,CHEMBL2528,430128,1
14270,CHEMBL304,148724,1
19996,CHEMBL3199,1784439,0
7247,CHEMBL269,609864,1
32168,CHEMBL4552,299806,1
36626,CHEMBL5424,711405,1
19812,CHEMBL3199,1359915,1
10836,CHEMBL276,330888,1
33535,CHEMBL4649,1354093,0
3891,CHEMBL2363,30086,1
38481,CHEMBL6184,1268843,0
11087,CHEMBL276,244099,0
6115,CHEMBL2564,813737,0
50468,CHEMBL4420,682785,0
26272,CHEMBL339,424912,0
4246,CHEMBL2391,369159,1
40160,CHEMBL1293231,862890,1
11673,CHEMBL285,334222,1
2017,CHEMBL1293238,1686348,1
37971,CHEMBL6140,1998233,1
53026,CHEMBL5387,578853,0
23859,CHEMBL3358,1518695,1
29568,CHEMBL3833,2018070,1
52163,CHEMBL5211,25983,0
27344,CHEMBL3571,599772,1
15954,CHEMBL309,174523,0
19708,CHEMBL3199,404963,1
9587,CHEMBL273,258714,1
48407,CHEMBL3910,408321,1
52501,CHEMBL5353,592855,1
36325,CHEMBL5160,2077273,1
46482,CHEMBL3222,452401,1
8650,CHEMBL270,1749349,1
35003,CHEMBL4980,2056544,1
795,CHEMBL1293238,743241,1
24768,CHEMBL338,1268843,1
45062,CHEMBL2528,430162,1
29833,CHEMBL3858,1848192,1
32571,CHEMBL4552,1954312,1
45298,CHEMBL2567,451088,1
10605,CHEMBL273,596587,0
39294,CHEMBL1255150,1585077,0
7178,CHEMBL269,574830,1
51453,CHEMBL4908,1989395,1
6267,CHEMBL257,290202,0
42650,CHEMBL1293231,1698682,0
10818,CHEMBL276,220363,1
25532,CHEMBL339,172876,1
28377,CHEMBL3614,149606,1
40337,CHEMBL1293231,889864,1
30705,CHEMBL4124,448743,1
18015,CHEMBL3138,302118,1
19838,CHEMBL3199,1439581,1
40239,CHEMBL1293231,876193,1
21133,CHEMBL3223,311791,1
21572,CHEMBL3229,387649,1
11590,CHEMBL285,194298,1
36084,CHEMBL5102,382986,0
17562,CHEMBL313,269515,0
31475,CHEMBL4430,1749591,0
38759,CHEMBL1075280,1348338,0
11693,CHEMBL285,1158203,1
19223,CHEMBL318,1385805,0
33262,CHEMBL4649,520610,1
9247,CHEMBL270,391651,0
15079,CHEMBL3066,621101,0
168,CHEMBL1075228,1262296,1
16173,CHEMBL311,369918,0
49656,CHEMBL4140,376138,1
52159,CHEMBL5211,708882,1
49914,CHEMBL4321,1274519,1
48165,CHEMBL3802,314960,1
34323,CHEMBL4828,600471,0
45097,CHEMBL2528,613371,0
3711,CHEMBL2129,420553,1
33080,CHEMBL4631,1544187,1
3127,CHEMBL1293238,1023572,0
43068,CHEMBL1293231,1682097,0
47298,CHEMBL3337,351774,1
14646,CHEMBL3048,613899,1
38538,CHEMBL1075140,620858,1
17882,CHEMBL313,313726,0
31108,CHEMBL4124,1571152,1
14346,CHEMBL304,317148,1
52542,CHEMBL5353,1514488,1
46115,CHEMBL3037,1761001,0
45976,CHEMBL2878,1779608,0
25608,CHEMBL339,291773,1
52555,CHEMBL5353,1612487,1
8846,CHEMBL270,65972,0
13723,CHEMBL302,1279626,1
33220,CHEMBL4649,519940,1
28039,CHEMBL3602,600507,1
17958,CHEMBL313,1828812,0
30208,CHEMBL4027,400507,1
23440,CHEMBL326,1838206,1
49547,CHEMBL4077,400746,0
19590,CHEMBL319,706887,0
28592,CHEMBL3753,1514002,1
44303,CHEMBL2207,1991310,1
51653,CHEMBL4908,2010945,1
7807,CHEMBL270,25078,1
27081,CHEMBL3571,501368,1
49305,CHEMBL4001,1154217,1
18502,CHEMBL317,11015,0
50466,CHEMBL4420,520417,0
6315,CHEMBL2577,1175818,1
18329,CHEMBL3148,1492226,1
